brand,km_drive,fule,owner,selling price,type
Honda,88374,Electric,First,1016667,Hatchback
Mercedes,49957,Electric,Second,2276914,Convertible
BMW,131909,Hybrid,Fourth & Above,882917,Coupe
BMW,186561,Diesel,Second,2666660,SUV
Chevrolet,89865,Electric,Fourth & Above,1272075,Convertible
Ford,194670,Diesel,Fourth & Above,2890709,Coupe
Ford,27260,Petrol,Third,2389922,Hatchback
Toyota,111999,Electric,First,2772344,Convertible
Nissan,40785,Petrol,First,1727451,Sedan
Chevrolet,145843,Hybrid,Second,576177,Sedan
Kia,9334,Electric,Third,407145,Hatchback
Chevrolet,154116,Electric,Second,1893860,Hatchback
Kia,115152,Diesel,Third,2247933,Convertible
Kia,78879,Electric,Third,1542884,Hatchback
Hyundai,195839,Petrol,First,763063,Convertible
Chevrolet,130808,Diesel,Fourth & Above,1248287,SUV
Chevrolet,15350,Diesel,Third,826750,Hatchback
Volkswagen,10143,Electric,Second,2844477,Convertible
Nissan,33833,Electric,Fourth & Above,1344481,Coupe
Hyundai,172863,Hybrid,Second,2367912,Hatchback
Chevrolet,31089,Hybrid,Second,991780,Hatchback
Ford,105368,Electric,Fourth & Above,834171,Sedan
Hyundai,6236,Electric,Second,483467,Convertible
BMW,174412,Petrol,Third,2474543,Sedan
Hyundai,33426,Electric,First,2834056,SUV
Chevrolet,29605,Petrol,Third,1226935,Hatchback
Chevrolet,191083,Petrol,Third,1451038,Hatchback
BMW,58638,Electric,Second,1173977,Hatchback
Chevrolet,135646,Hybrid,Second,877723,Convertible
Hyundai,42369,Petrol,Third,1767889,Coupe
BMW,184433,Hybrid,Third,2684675,Convertible
Nissan,167095,Petrol,Second,185524,Convertible
Honda,167819,Petrol,Fourth & Above,290034,Coupe
Volkswagen,192384,Electric,First,140256,Convertible
Toyota,109231,Hybrid,Third,2788359,Hatchback
Mercedes,23431,Petrol,Second,2742793,Coupe
BMW,104629,Diesel,Third,625528,SUV
Nissan,110476,Hybrid,First,1814801,Sedan
Ford,91648,Hybrid,Third,2266307,Sedan
BMW,187191,Hybrid,Third,2066670,SUV
Hyundai,25810,Diesel,Fourth & Above,1229080,Sedan
Chevrolet,197880,Diesel,First,1710458,SUV
Mercedes,85483,Diesel,Second,1343070,Convertible
BMW,7288,Electric,Fourth & Above,1557589,Hatchback
Toyota,182773,Electric,Fourth & Above,1708776,Hatchback
Toyota,101294,Diesel,Second,901482,Sedan
Volkswagen,86304,Petrol,First,108608,Convertible
Chevrolet,113504,Petrol,Fourth & Above,1469648,Convertible
Hyundai,100790,Electric,Second,1499218,Convertible
Ford,170045,Electric,Second,2799948,Coupe
Chevrolet,81524,Petrol,Third,1535214,Convertible
Honda,27319,Hybrid,Fourth & Above,2378576,Hatchback
Ford,137628,Electric,First,2728515,Sedan
Hyundai,104545,Electric,Second,1799593,Coupe
Ford,28067,Diesel,Second,2920012,Hatchback
Toyota,142759,Electric,Second,2100884,SUV
Kia,181173,Electric,First,201842,Sedan
Ford,146624,Petrol,Fourth & Above,2940116,Hatchback
Nissan,134993,Hybrid,Second,605125,Sedan
Toyota,65649,Hybrid,First,1948009,Sedan
Chevrolet,139284,Petrol,Fourth & Above,1814536,Hatchback
Volkswagen,9087,Petrol,Second,488300,Sedan
Ford,72236,Diesel,First,2928052,Hatchback
Volkswagen,98963,Hybrid,Third,2085469,Hatchback
BMW,45273,Petrol,Second,2594780,Sedan
Kia,94715,Hybrid,Third,265604,SUV
Nissan,77393,Petrol,Fourth & Above,1394916,Coupe
Ford,27749,Hybrid,Second,1566099,Hatchback
Volkswagen,175112,Petrol,First,188246,Convertible
Honda,159819,Hybrid,First,1459840,Convertible
Volkswagen,27203,Petrol,Third,2723895,Coupe
Nissan,197379,Diesel,Third,1751568,Convertible
Chevrolet,134943,Electric,First,2479595,Coupe
Honda,165419,Hybrid,Fourth & Above,1577282,SUV
Volkswagen,188859,Electric,Third,2022488,Sedan
Volkswagen,25296,Petrol,First,750989,Sedan
Mercedes,13422,Hybrid,Fourth & Above,2114365,Sedan
Nissan,83922,Petrol,Third,655173,Convertible
Ford,177735,Diesel,First,2538034,Coupe
Mercedes,169854,Electric,First,258970,SUV
Volkswagen,98509,Diesel,Third,2954296,Sedan
Mercedes,17302,Hybrid,First,1531144,SUV
Honda,35195,Electric,Fourth & Above,2168975,Convertible
Ford,152131,Diesel,Second,1656230,Sedan
Hyundai,122720,Electric,Third,2393614,SUV
Volkswagen,54694,Petrol,Fourth & Above,904366,Sedan
Honda,161812,Petrol,First,448175,SUV
Toyota,167469,Diesel,First,2404803,Coupe
Mercedes,142899,Electric,Second,1597395,SUV
Chevrolet,193973,Hybrid,First,2476897,Convertible
